"id","Antenna...Dish","Type","Applicant","Location","SBL.","Issued","Year","Valuation","Fee.Amount","Location2","lon","lat","Tract"
1,"08351","Antenna / Dish","Empire Archives Inc","405 Hiawatha Blvd E","001.2-02-08.0","09/10/2012",2012,18000,335,"405 Hiawatha Blvd E , Syracuse, New York",-76.164795,43.07396,NA
2,"10883","Antenna / Dish","G&K Trucking LLC","1714 Salina St N & Exchange St","002.-03-05.0","04/25/2013",2013,22000,395,"1714 Salina St N & Exchange St , Syracuse, New York",-76.1663861,43.0702728,NA
3,"16204","Antenna / Dish","G&K Trucking LLC","1714 Salina St N & Exchange St","002.-03-05.0","08/26/2014",2014,30000,515,"1714 Salina St N & Exchange St , Syracuse, New York",-76.1663861,43.0702728,NA
4,"13458","Electric (Meter Set)","Timothy Bragan","1625 Spring St & Hiawatha Blvd","002.-05-04.0","12/03/2013",2013,100,25,"1625 Spring St & Hiawatha Blvd , Syracuse, New York",-76.164165,43.073913,NA
5,"22317","Electric (Meter Set)","Steve Cook Electric","417 Wolf St","002.-05-15.0","12/28/2015",2015,125,25,"417 Wolf St , Syracuse, New York",-76.1632581,43.0728197,NA
6,"12274","Electric (Meter Set)","Summit Electric & Communication","513 Wolf St","002.-06-15.0","08/29/2013",2013,100,25,"513 Wolf St , Syracuse, New York",-76.1622071,43.0741777,NA
7,"15123","Electric (Meter Set)","FYM Logic Inc","621-23 Lemoyne Ave","002.-07-17.0","05/09/2014",2014,100,25,"621-23 Lemoyne Ave , Syracuse, New York",-76.161108,43.073521,NA
8,"15911","Electric (Meter Set)","Palmer Electric","418 Wolf St","002.-08-06.0","07/03/2014",2014,250,25,"418 Wolf St , Syracuse, New York",-76.162592,43.072662,NA
9,"20865","Electric (Meter Set)","Michael Spillane","418 Wolf St","002.-08-06.0","09/17/2015",2015,50,25,"418 Wolf St , Syracuse, New York",-76.162592,43.072662,NA
10,"13160","Electric (Meter Set)","Gregory Tarasenko","531-33 Lemoyne Ave","002.-08-15.0","11/12/2013",2013,100,25,"531-33 Lemoyne Ave , Syracuse, New York",-76.161631,43.072535,NA
11,"21292","Electric (Meter Set)","Geswaldo & Desocio Inc","531-33 Lemoyne Ave","002.-08-15.0","10/16/2015",2015,100,25,"531-33 Lemoyne Ave , Syracuse, New York",-76.161631,43.072535,NA
12,"24910","Electric (Meter Set)","Geswaldo & Desocio Inc.","1210 Carbon St","002.-08-27.0","08/17/2016",2016,100,25,"1210 Carbon St , Syracuse, New York",-76.162644,43.072218,NA
13,"20255","Antenna / Dish","Verizon","110 Wolf St To Salina St N","002.-13-04.1","03/21/2016",2016,60000,1010,"110 Wolf St, Syracuse, New York",-76.1653004,43.069096,NA
14,"14188","Electric (Meter Set)","Time Warner Cable & Security","1637 Salina St N","002.-13-07.0","02/11/2014",2014,199,25,"1637 Salina St N , Syracuse, New York",-76.1650955,43.0695525,NA
15,"15054","Antenna / Dish","Centerline Communications","1629-35 Salina St N","002.-13-08.0","06/02/2014",2014,5000,140,"1629-35 Salina St N , Syracuse, New York",-76.1648807,43.0694734,NA
16,"18812","Antenna / Dish","Centerline Communications","1629-35 Salina St N","002.-13-08.0","05/01/2015",2015,30000,515,"1629-35 Salina St N , Syracuse, New York",-76.1648807,43.0694734,NA
17,"22499","Antenna / Dish","Centerline Communications","1629-35 Salina St N","002.-13-08.0","02/09/2016",2016,25000,440,"1629-35 Salina St N , Syracuse, New York",-76.1648807,43.0694734,NA
18,"11959","Electric (Meter Set)","L & S Electric","2704 Lodi St","002.-13-18.0","07/24/2013",2013,200,25,"2704 Lodi St , Syracuse, New York",-76.1646752,43.068552,NA
19,"18660","Electric (Meter Set)","L & S Electric","1703 Park St","002.-16-11.0","04/06/2015",2015,200,25,"1703 Park St , Syracuse, New York",-76.161864,43.069611,NA
